         2324420 function calls (2171995 primitive calls) in 1.523 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       99    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      841    0.000    0.000    0.001    0.000 functions.py:95(localname)
      689    0.000    0.000    0.001    0.000 typing.py:704(__setattr__)
      938    0.000    0.000    0.001    0.000 lexer.py:247(test)
      994    0.000    0.000    0.001    0.000 bases.py:129(make_descriptors)
        1    0.000    0.000    0.000    0.000 process.py:63(BaseProcess)
   477/72    0.000    0.000    0.001    0.000 grammar.py:398(_resolve_refs)
      244    0.000    0.000    0.002    0.000 enum.py:53(__init__)
      492    0.000    0.000    0.004    0.000 rcsetup.py:374(validate_color)
     4818    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
     1342    0.000    0.000    0.002    0.000 bases.py:163(_raw_default)
       53    0.000    0.000    0.001    0.000 _internal.py:819(_ufunc_doc_signature_formatter)
      776    0.000    0.000    0.001    0.000 either.py:102(transform)
        1    0.000    0.000    0.025    0.025 functions.py:1(<module>)
     1357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      496    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
     1501    0.000    0.000    0.001    0.000 base.py:49(_convert)
     1437    0.000    0.000    0.001    0.000 copyreg.py:87(__newobj__)
     3781    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
      172    0.000    0.000    0.002    0.000 __init__.py:1216(getLogger)
     1741    0.000    0.000    0.001    0.000 sre_parse.py:81(groups)
     6156    0.000    0.000    0.000    0.000 type_parsing.py:40(generic_visit)
     1354    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      168    0.000    0.000    0.001    0.000 base.py:119(__init__)
     3778    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {built-in method gc.collect}
        1    0.000    0.000    0.000    0.000 table.py:58(ColHierarchiesUsage)
     1562    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:582(rv_generic)
      449    0.000    0.000    0.001    0.000 artist.py:1301(_replace_path)
     4122    0.000    0.000    0.000    0.000 inspect.py:2835(parameters)
       80    0.000    0.000    0.005    0.000 helpers.py:714(_get_sigfunc)
      109    0.000    0.000    0.003    0.000 deprecation.py:183(deprecate)
       50    0.000    0.000    0.003    0.000 traceback.py:318(extract)
      160    0.000    0.000    0.002    0.000 __init__.py:2055(<genexpr>)
     1343    0.000    0.000    0.002    0.000 has_props.py:519(_overridden_defaults)
        2    0.000    0.000    0.000    0.000 dtypes.py:459(construct_from_string)
      374    0.000    0.000    0.001    0.000 enum.py:71(validate)
      780    0.000    0.000    0.001    0.000 posixpath.py:64(isabs)
     5261    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      171    0.000    0.000    0.001    0.000 __init__.py:1267(_fixupParents)
      325    0.000    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
      682    0.000    0.000    0.009    0.000 lexer.py:349(__next__)
      438    0.000    0.000    0.005    0.000 version.py:24(parse)
      689    0.000    0.000    0.001    0.000 lexer.py:237(__new__)
      471    0.000    0.000    0.003    0.000 pyparsing.py:1167(copy)
       13    0.000    0.000    0.016    0.001 compiler.py:695(visit_Template)
      343    0.000    0.000    0.000    0.000 _util.py:293(<listcomp>)
      449    0.000    0.000    0.002    0.000 check.py:375(oneof)
      372    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      320    0.000    0.000    0.001    0.000 container.py:183(validate)
      408    0.000    0.000    0.001    0.000 artist.py:1326(aliased_name)
       23    0.000    0.000    0.000    0.000 generic.py:6(create_pandas_abc_type)
     1623    0.000    0.000    0.001    0.000 posixpath.py:41(_get_sep)
